t,demand
549,149.2
550,126.3
551,105.5
552,93.4
553,89
554,86.2
555,83.2
556,82.9
557,86.4
558,95.3
559,103.6
560,110.2
561,120.1
562,128.6
563,136.9
564,137.5
565,137.1
566,146.9
567,151.8
568,150.7
569,151.8
570,180.2
571,192.6
572,185.3
573,162.8
574,140.5
575,116.6
576,102.8
577,97.4
578,95.4
579,96.4
580,96.1
581,99.7
582,102.2
583,114.7
584,124.8
585,133.5
586,140.4
587,148.2
588,151.2
589,156
590,143.3
591,135.7
592,134
593,145.5
594,176.2
595,189.6
596,174.6
597,149.6
598,124.3
599,102.8
600,88.9
601,84.4
602,80.6
603,80.3
604,81.4
605,87.1
606,90.8
607,103
608,120.5
609,126.3
610,131
611,138.6
612,149.2
613,146.4
614,141.7
615,139.1
616,142.7
617,146.5
618,184.4
619,200.7
620,189.1
621,172
622,149.3
623,122.8
624,107.7
625,102.2
626,94.8
627,90.4
628,88.6
629,89.3
630,86.5
631,105.2
632,114.6
633,124.6
634,131
635,127.4
636,126.9
637,126.5
638,132.1
639,133.2
640,132.8
641,128.7
642,161.2
643,184.2
644,181.3
645,168.1
646,142.7
647,122.2
648,109.3
649,103
650,97.1
651,91.4
652,90.3
653,88.3
654,84.8
655,97.4
656,107.5
657,117.7
658,124.8
659,93.2
660,122.5
661,126.2
662,131.8
663,131.3
664,135.2
665,131.7
666,159.4
667,187.7
668,186.9
669,161
670,131
671,109.4
672,96
673,90.7
674,89.2
675,88.1
676,86.9
677,91.8
678,95.7
679,101.6
680,118
681,121.8
682,128.7
683,145.9
684,141.6
685,133.5
686,133
687,138.2
688,136
689,136.4
690,166.6
691,181.6
692,176.6
693,160.3
694,135.7
695,109.1
696,96
697,91.7
698,89.7
699,88
700,87.8
701,93.8
702,102.9
703,103.4
704,116.5
705,122.9
706,139.7
707,145.8
708,147.7
709,140.3
710,141.8
711,141.8
712,139.4
713,152.2
714,190.2
715,208.5
716,190.9
717,167.4
718,145.8
719,121.9
720,106.9
721,101.3
722,97.8
723,96.5
724,96.4
725,101.9
726,104.9
727,116.7
728,128.4
729,133.8
730,140.8
731,144.3
732,104.4
733,138.4
734,149.1
735,144.8
736,150.1
737,155.3
738,188.8
739,207.9
740,166.8
741,180.1
742,158.4
743,129.7
744,114.7
745,105.6
746,103
747,101
748,99.7
749,103.9
750,106.9
751,123
752,128.2
753,139.8
754,138.6
755,139.8
756,138.4
757,137
758,132.7
759,130.1
760,132.4
761,135.1
762,172
763,197.9
764,189
765,172.2
766,146.3
767,121.2
768,106.3
769,100.2
770,96.2
771,92.6
772,94.4
773,95.7
774,98.9
775,121.7
776,129.8
777,135.2
778,140.5
779,147
780,132.8
781,129.3
782,129.2
783,135.3
784,137.1
785,142
786,182.7
787,200.4
788,190.4
789,177.4
790,157.8
791,128.2
792,112.6
793,105.9
794,99.7
795,95.8
796,93.9
797,94.9
798,92.5
799,102.3
800,110.2
801,121.4
802,138.5
803,138.7
804,133.8
805,125.5
806,130.6
807,136.5
808,138.8
809,139.5
810,167.9
811,199.5
812,188.8
813,167.5
814,146.9
815,126.9
816,114.1
817,106.6
818,100.5
819,96.1
820,94.8
821,92
822,87.8
823,107
824,116.2
825,128.4
826,131.1
827,136.4
828,140.8
829,140.8
830,142.1
831,136.2
832,132.4
833,136.8
834,170.7
835,190.1
836,187
837,167
838,141.6
839,116.3
840,105.1
841,100.7
842,97.5
843,95
844,95.3
845,97.5
846,108.2
847,125.4
848,128.8
849,136.5
850,139.8
851,143.2
852,139.3
853,142.3
854,147.4
855,148.6
856,150
857,151.3
858,184
859,196.9
860,182.8
861,162.5
862,140.4
863,118
864,105.4
865,97.7
866,94.4
867,92.5
868,94
869,98.6
870,107.2
871,125.5
872,138.6
873,138.7
874,139.6
875,146.6
876,148.1
