t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
89,68.19814302,26.73,2.204896377,639.5770901,39.06323513,4,0,0
90,0,26.97,2.192602029,1.217.851,0,4,0,0
91,0,27.09,2.180307681,-774.6136,0,4,0,0
92,0,27.09,2.168013333,-871.9958,0,4,0,0
93,0,27.03,2.155718986,-969.378,0,4,0,0
94,0,26.98,2.143424638,-1066.7602,0,4,0,0
95,0,26.98,2.13113029,-1164.1424,0,4,0,0
96,0,26.95,2.118835942,644.0976133,0,5,0,0
97,0,26.91,2.106541594,648.6181366,0,5,0,0
98,0,26.85,2.094247246,653.1386598,0,5,0,0
99,0,26.83,2.081952899,657.659183,0,5,0,0
100,0,26.85,2.069658551,662.1797062,0,5,0,0
101,0,26.88,2.057364203,666.7002294,0,5,0,0
102,58.21792822,26.93,2.045069855,671.2207527,29.76310588,5,0,0
103,248.0341214,26.99,2.032775507,675.7412759,210.4239117,5,0,0
104,462.4096422,27.01,2.020481159,680.2617991,415.8685351,5,0,0
105,668.9536491,27.01,2.008186812,684.7823223,614.5995527,5,0,0
106,832.851177,26.98,1.995892464,689.3028455,772.6666071,5,0,0
107,924.7928065,26.93,1.983598116,693.8233688,861.4481516,5,0,0
108,927.832671,26.87,1.971303768,698.343892,864.3847304,5,0,0
109,841.4050393,26.8,1.95900942,702.8644152,780.9233938,5,0,0
110,681.4589476,26.76,1.946715072,707.3849384,626.6499209,5,0,0
111,476.6759619,26.77,1.934420725,711.9054616,429.5745055,5,0,0
112,261.7510366,26.76,1.922126377,716.4259849,223.5346784,5,0,0
113,69.47102379,26.77,1.909832029,720.9465081,40.42125159,5,0,0
114,0,26.73,1.897537681,1.217.852,0,5,0,0
115,0,26.69,1.885243333,-1261.5246,0,5,0,0
116,0,26.64,1.872948986,-1358.9068,0,5,0,0
117,0,26.58,1.860654638,-1456.289,0,5,0,0
118,0,26.53,1.84836029,-1553.6712,0,5,0,0
119,0,26.48,1.836065942,-1651.0534,0,5,0,0
120,0,26.39,1.823771594,725.4670313,0,6,0,0
121,0,26.27,1.811477246,729.9875545,0,6,0,0
122,0,26.15,1.799182899,734.5080777,0,6,0,0
123,0,26.07,1.786888551,739.028601,0,6,0,0
124,0,26.07,1.774594203,743.5491242,0,6,0,0
125,0,26.08,1.762299855,748.0696474,0,6,0,0
126,57.09439923,26.12,1.750005507,752.5901706,28.85834115,6,0,0
127,246.5407237,26.19,1.737711159,757.1106938,209.1977244,6,0,0
128,460.7134876,26.33,1.725416812,761.6312171,414.4779869,6,0,0
129,667.2928386,26.44,1.713122464,766.1517403,613.2691622,6,0,0
130,831.4837044,26.52,1.700828116,770.6722635,771.6387377,6,0,0
131,923.9381305,26.51,1.688533768,775.1927867,860.9263027,6,0,0
132,927.6208826,26.47,1.67623942,779.7133099,864.4843669,6,0,0
133,841.8467013,26.45,1.663945072,784.2338332,781.6431239,6,0,0
134,682.4433683,26.42,1.651650725,788.7543564,627.8706001,6,0,0
135,477.9982895,26.4,1.639356377,793.2748796,431.0865944,6,0,0
136,263.1610903,26.4,1.627062029,797.7954028,225.0868342,6,0,0
137,70.73118886,26.44,1.614767681,802.315926,41.77764859,6,0,0
138,0,26.48,1.602473333,1.217.853,0,6,0,0
139,0,26.56,1.590178986,-1748.4356,0,6,0,0
140,0,26.63,1.577884638,-1845.8178,0,6,0,0
141,0,26.71,1.56559029,-1943.2,0,6,0,0
142,0,26.76,1.553295942,-2040.5822,0,6,0,0
143,0,26.75,1.541001594,-2137.9644,0,6,0,0
144,0,26.69,1.528707246,806.8364493,0,7,0,0
145,0,26.65,1.516412899,811.3569725,0,7,0,0
146,0,26.68,1.504118551,815.8774957,0,7,0,0
147,0,26.73,1.491824203,820.3980189,0,7,0,0
