t,demand
469,19680.5
470,20115.6
471,22220
472,22546.6
473,22093
474,23128
475,23571.5
476,22165.2
477,21056.3
478,20658.5
479,20115.8
480,19546.4
481,18884.6
482,18350.5
483,17874.6
484,17445.6
485,17271.1
486,17168.3
487,15528.9
488,16886.2
489,19423.4
490,20955.2
491,21070.5
492,20754
493,19194.3
494,18875.6
495,18831.5
496,18809.8
497,20144.8
498,21401.1
499,22362.3
500,21482.8
501,20991.5
502,20744.9
503,19996.6
504,19255.8
505,18568.4
506,17977
507,17422.7
508,16970.7
509,16945.6
510,16962
511,17404
512,20069.9
513,23041.9
514,24116.9
515,24744.2
516,23770.7
517,22398.8
518,23313.5
519,25427.6
520,25419.1
521,24534.1
522,24475.3
523,24652.1
524,23504.6
525,22603.4
526,22319
527,21201.8
528,20186.2
529,19429.8
530,18767.7
531,18245.8
532,17893.5
533,17483
534,17901.5
535,18195.8
536,20191
537,23307.1
538,24479.9
539,24734.4
540,23524.9
541,21929.2
542,22940.9
543,24762.6
544,24778.2
545,24162.7
546,24331.3
547,24623.5
548,23321.6
549,22255.7
550,21740.5
551,20917.2
552,19979.1
553,19207.4
554,18490.9
555,17854.2
556,17522.7
557,17450.2
558,17659.3
559,18114.5
560,20349
561,23421.2
562,24346.7
563,24337.3
564,23512.4
565,21415.5
566,22740.7
567,24972.6
568,24964.8
569,24277
570,24145.3
571,24539.3
572,21776.7
573,21178.1
574,21857.9
575,20895.8
576,19583.5
577,18520
578,18060.5
579,17560.9
580,17344.4
581,17378.2
582,17518.3
583,18011.7
584,19298.9
585,21509.9
586,22566.3
587,23057.8
588,22452.7
589,21319.9
590,22523.6
591,24661.9
592,24556.4
593,23820
594,23913
595,24077.5
596,22731.7
597,21640
598,21079.3
599,20179.2
600,19477.4
601,18655.3
602,18089.4
603,17581.9
604,16909.8
605,16658.3
606,17014.9
607,17570.1
608,19818.3
609,22745.8
610,22216
611,23475.7
612,22077.4
613,20010.9
614,21205.9
615,22516.4
616,23118.2
617,22788.7
618,23021.8
619,23382.2
620,22091.7
621,20856.7
622,20283.7
623,19651.4
624,18730.6
625,17982.1
626,17655.7
627,17236.5
628,16750.6
629,16619.7
630,16235.1
631,16465
632,18229.6
633,21156.8
634,22646.7
635,23006.2
636,22243.1
637,20538.8
638,19982.2
639,22236.6
640,23185.5
641,22465.2
642,22842.6
643,23534.6
644,22136.8
645,21034
646,20420
647,19578
648,19015.8
649,18351.7
650,17730.4
651,17252.3
652,16784.9
653,16696.6
654,16477
655,16457.9
656,17383.5
657,19190.1
658,20530.2
659,20662.1
660,20523.1
661,19110.3
662,19037.9
663,19230.3
664,19231.8
665,20311.8
666,21459.8
667,22498.4
668,21585.2
669,21434.1
670,20996.9
671,20166.2
672,19216.6
673,18417.6
674,17787.4
675,17331.9
676,17127.8
677,17001.3
678,17060.8
679,16848
680,19510.8
681,22653.3
682,23721.4
683,24121.4
684,22630.5
685,20783.5
686,22628
687,24907.2
688,25024.8
689,24127.2
690,23506.6
691,23845.7
692,22746.9
693,22033.7
694,21578.6
695,20399.3
696,19267.5
697,18614.7
698,17856.5
699,16266.1
