t,demand
473,1278.3
474,1416.3
475,1408.9
476,1389.8
477,1363.9
478,1324.3
479,1292.2
480,1261.9
481,1232.9
482,1211.9
483,1193
484,1182.8
485,1178.4
486,1121.9
487,1167.1
488,1217.4
489,1247.7
490,1268.3
491,1235.3
492,1111.5
493,1103.6
494,1101
495,1085.2
496,1069.3
497,1240.9
498,1406.9
499,1424.6
500,1401.6
501,1396.2
502,1335.7
503,1275.1
504,1238.3
505,1213.3
506,1189.9
507,1171.3
508,1178.1
509,1194.6
510,1134.1
511,1172.9
512,1230.1
513,1251.1
514,1294.1
515,1292
516,1275.7
517,1272
518,1243.9
519,1222.5
520,1198.8
521,1338
522,1459.7
523,1469.7
524,1448.9
525,1410.2
526,1369
527,1299.2
528,1259.2
529,1233.7
530,1209.9
531,1184.7
532,1186.7
533,1177.1
534,1098.3
535,1151.9
536,1198.4
537,1253.9
538,1327.8
539,1300.1
540,1273.5
541,1274.4
542,1276.2
543,1234.9
544,1237.3
545,1313.3
546,1423.9
547,1412.2
548,1408.5
549,1365.8
550,1338.5
551,1269.6
552,1225.4
553,1205.3
554,1189.6
555,1165.3
556,1164.7
557,1167.6
558,1131.9
559,1184.1
560,1253.1
561,1303.4
562,1339.4
563,1304.2
564,1245.5
565,1252.5
566,1291.7
567,1261.2
568,1221.2
569,1317.3
570,1461.1
571,1446.3
572,1422.9
573,1405
574,1335.8
575,1271.1
576,1242
577,1218.5
578,1190.9
579,1177.2
580,1176.7
581,1184.3
582,1117.1
583,1172.8
584,1211.7
585,1263.5
586,1261.7
587,1248.1
588,1243.3
589,1264.5
590,1279.2
591,1270.7
592,1243.1
593,1274.8
594,1426.9
595,1412.3
596,1378.5
597,1376.2
598,1332.3
599,1275.4
600,1226.5
601,1207.5
602,1180
603,1151.4
604,1151.8
605,1170.7
606,1120
607,1168
608,1251.7
609,1303.3
610,1374.2
611,1332.6
612,1341.1
613,1355.2
614,1330
615,1291.5
616,1276.7
617,1336.6
618,1451.3
619,1456.1
620,1432.3
621,1440.1
622,1387.9
623,1331.3
624,1291.9
625,1263.3
626,1227
627,1203.5
628,1190.4
629,1172.6
630,1129.3
631,1144.8
632,1166.4
633,1177.8
634,1186
635,1177.8
636,1165.4
637,1175.3
638,1176.7
639,1181.9
640,1149
641,1244.9
642,1429.7
643,1392.1
644,1369.8
645,1371.7
646,1348.4
647,1292.5
648,1261.1
649,1239.4
650,1191.2
651,1164.8
652,1153.8
653,1140.6
654,1099
655,1172
656,1215.7
657,1192
658,1147.1
659,1189.6
660,1149.2
661,1156
662,1129.8
663,1107.2
664,1118.6
665,1241.5
666,1432.1
667,1441.3
668,1433.7
669,1404.9
670,1334.3
671,1277.4
672,1232.3
673,1212
674,1193
675,1167.5
676,1196.6
677,1168.2
678,1099.1
679,1149.6
680,1165.3
681,1207.1
682,1243.4
683,1257.7
684,1296.9
685,1310.7
686,1310
687,1267.5
688,1249.8
689,1298.1
690,1477.8
691,1462.5
692,1465.9
693,1451.9
694,1373.2
695,1283.1
696,1239.7
697,1215.4
698,1194.6
699,1157.6
700,1180.1
701,1159.3
702,1074.8
703,1156.4
704,1220.3
705,1246.1
706,1265.1
707,1261.2
708,1292.5
709,1297.9
710,1256.6
711,1254.8
712,1212.8
713,1285.5
714,1466.7
715,1459.5
716,1434.8
717,1395.6
718,1325.4
719,1274
720,1229.9
721,1210
722,1196.5
723,1188.8
724,1199.7
725,1153.1
726,1062.9
727,1135.5
728,1181
729,1242.2
730,1273.1
731,1240.4
732,1258.9
733,1318.3
734,1341
735,1317.8
736,1270.3
737,1287.6
738,1445.8
739,1454.9
740,1440.1
741,1416.3
742,1327.7
743,1269.5
744,1222.6
745,1190.5
746,1172.4
747,1157.9
748,1173.3
749,1143.8
750,1061.8
751,1120.9
752,1201.7
753,1206
754,1228.8
755,1228.1
756,1263.7
757,1257.6
758,1260.2
759,1250.3
760,1219
761,1262.7
762,1467.1
763,1442.3
764,1408.1
765,1360.7
766,1310.8
767,1249.9
768,1201.2
769,1170
770,1147.1
771,1139.6
772,1156.4
773,1124.4
774,1064.2
775,1116
776,1144.4
777,1190
778,1255.4
779,1254.6
780,1283
781,1301.3
782,1349.1
783,1292
784,1248.8
785,1254.7
786,1420.3
787,1401.9
788,1375.3
789,1370.4
790,1348
791,1276.3
792,1231.1
793,1200.2
794,1178.6
795,1148
796,1142.2
797,1111.4
798,1043.2
799,1087.6
800,1102.3
801,1138.3
802,1171.3
803,1180
804,1186.7
805,1169.2
806,1202.7
807,1214.1
808,1180.1
809,1240.2
810,1432.4
811,1402.5
812,1369.5
813,1351.2
814,1315.1
815,1258.1
816,1220.6
817,1193.2
818,1176
819,1162.2
820,1131.8
821,1086.1
822,1052.4
823,1125.8
824,1219.2
825,1223
826,1188.2
827,1181.1
828,1108.1
829,1101.8
830,1152.2
831,1142.2
832,1084.2
833,1212.3
834,1424.3
835,1436.5
836,1396.4
837,1366.3
838,1311.4
839,1238.6
840,1199.6
841,1161.7
842,1146.9
843,1139.7
844,1164.9
845,1158.3
846,1060.9
847,1113.4
848,1146.1
849,1207.5
850,1215.7
851,1249.5
852,1265.3
853,1301.5
854,1306.2
855,1281.8
856,1225.4
857,1260.3
858,1431.9
859,1421.8
860,1409.1
861,1361.9
862,1283.3
863,1227
864,1196.7
865,1176.4
866,1154.2
867,1145.4
868,1180.2
869,1164.6
870,1073.6
871,1128.6
872,1159.7
873,1205.6
874,1232.6
875,1238
876,1265.6
877,1325.7
878,1301.6
879,1293.7
880,1248.6
881,1298.4
882,1476.6
883,1439.1
884,1402.9
885,1375.3
886,1298.8
887,1251.1
888,1208.9
889,1179.1
890,1167.6
891,1157.2
892,1185.2
893,1171.2
894,1092.1
895,1146.3
896,1191.8
897,1255.9
898,1292.8
899,1282.2
900,1318.8
901,1342.6
902,1317.1
903,1268.9
904,1275.5
905,1318.3
906,1454.4
907,1467
908,1455.6
909,1389.3
910,1307.8
911,1252.3
912,1193.4
913,1170
914,1152.6
915,1139.8
916,1178.1
917,1161.9
918,1067.4
919,1072.1
920,1080.1
921,1129.7
922,1167.8
923,1193.4
924,1225.4
925,1250.1
926,1240.4
927,1233.8
928,1206.1
929,1248.7
930,1401.3
931,1391.7
932,1370.7
933,1315.9
934,1241.1
935,1185.8
936,1150
937,1127.8
938,1107.3
939,1074.3
940,1126.7
941,1123.7
942,1062.3
943,1111.9
944,1136.2
945,1194.9
946,1223.6
947,1189.5
948,1180.2
949,1155.7
950,1172.4
951,1166.2
952,1152.4
953,1210.4
954,1358.4
955,1315.9
956,1299.2
957,1296
958,1234.3
959,1188.4
960,1150.3
961,1123.7
962,1094.7
963,1058.3
964,1060.9
965,1054.4
966,987.4
967,1038.6
968,1055.3
969,1092.7
970,1118
971,1139.8
972,1159.1
973,1168.8
974,1187
975,1212.9
976,1184.5
977,1240.7
978,1423.1
979,1385
980,1371.1
981,1353.4
982,1308.2
983,1262.2
984,1218.6
985,1188.2
986,1155.4
987,1126.1
988,1125.7
989,1116.3
990,1088.4
991,1157.1
992,1216
993,1237.9
994,1180.5
995,1172.1
996,1106.6
997,1057.9
998,1072.4
999,1081.5
1000,1062.4
1001,1169
1002,1420.6
1003,1448
1004,1407.2
1005,1352.3
1006,1276.3
1007,1235
1008,1199.8
1009,1179.4
1010,1164.8
1011,1154.5
1012,1170.8
1013,1133.4
1014,1076.1
1015,1101.8
1016,1145.9
1017,1203.4
1018,1243.3
1019,1251.1
1020,1259.8
1021,1283.8
1022,1272.2
1023,1247.6
1024,1215
1025,1262.5
1026,1463.8
1027,1431.3
1028,1409.9
1029,1361.2
1030,1286.8
1031,1218.2
1032,1180.2
1033,1151.3
1034,1125
1035,1108.6
1036,1129.2
1037,1117
1038,1057.7
1039,1087.1
1040,1137.6
1041,1205.3
1042,1250.9
1043,1230.5
1044,1270.7
1045,1288.2
1046,1239.7
1047,1208.2
1048,1209.3
1049,1242.8
1050,1435.8
1051,1420.6
1052,1385
1053,1346.8
1054,1227.3
1055,1138
1056,1099.7
1057,1080.5
1058,1070.5
1059,1068.1
1060,1094.2
1061,1069.1
1062,1013
1063,1095.9
1064,1160.6
1065,1215.6
1066,1232.8
1067,1203.7
1068,1210.2
1069,1230.5
1070,1228.4
1071,1215.2
1072,1164.7
1073,1221.6
1074,1363.3
1075,1355.3
1076,1308.1
1077,1262.1
1078,1157.2
1079,1103.4
1080,1067.5
1081,1040.4
1082,1033.7
1083,1037
1084,1070.9
1085,1089.9
1086,1035.3
1087,1090.7
1088,1160.5
1089,1205.4
1090,1203.8
1091,1201.4
1092,1234
1093,1231.2
1094,1220.8
1095,1210.7
1096,1168
1097,1219.1
1098,1416.1
1099,1392.7
1100,1353.9
1101,1298.6
1102,1241.3
1103,1185.6
1104,1153.6
1105,1129.7
1106,1099.6
1107,1080.6
1108,1115.5
1109,1084.3
1110,1023
1111,1076.5
1112,1135.3
1113,1191.4
1114,1206.5
1115,1246.8
1116,1250
1117,1249.6
1118,1227.9
1119,1196.2
1120,1163.4
1121,1188.1
1122,1392.8
1123,1345
1124,1334.1
1125,1316.9
1126,1259
1127,1201.8
1128,1162.2
1129,1128.7
1130,1109.5
1131,1090.2
1132,1071.5
1133,1064.7
1134,1048.5
1135,1087.8
1136,1106.5
1137,1139.9
1138,1110
1139,1106
1140,1108.2
1141,1109.3
1142,1125
1143,1109.8
1144,1125.5
1145,1182.8
1146,1370.2
1147,1351.9
1148,1329.4
1149,1303.1
1150,1262.1
1151,1211.2
1152,1173.7
1153,1149.5
1154,1132.2
1155,1106.8
1156,1086.4
1157,1053.2
1158,1010
1159,1084.4
1160,1157.1
1161,1137
1162,1127.6
1163,1103.7
1164,1039.2
1165,1055.7
1166,1064.7
1167,1065.8
1168,1081.5
1169,1209.5
1170,1403.6
1171,1385.1
1172,1352.3
1173,1305.3
1174,1241.2
1175,1165.2
1176,1134.3
1177,1115.5
1178,1111.9
1179,1093.6
1180,1127.2
1181,1078.6
1182,1048.7
1183,1096.5
1184,1135.4
1185,1181.7
1186,1213.1
1187,1204.4
1188,1227.4
1189,1248.7
1190,1264.5
1191,1243.4
1192,1193.7
1193,1184.6
1194,1389.9
1195,1393.8
1196,1376.8
1197,1332.8
1198,1243
1199,1187.3
1200,1147.3
1201,1124.5
1202,1111.7
1203,1093.5
1204,1116.4
1205,1073.4
1206,1018.3
1207,1053.5
1208,1114.7
1209,1202
1210,1238.1
1211,1232.1
1212,1231
1213,1240.5
1214,1253.8
1215,1233.9
1216,1205.7
1217,1209.6
1218,1387.5
1219,1363.1
1220,1336.3
1221,1295.4
1222,1231.7
1223,1184.1
1224,1153.3
1225,1121.5
1226,1112.8
1227,954.3
1228,724.2
1229,1065.4
1230,1072.4
1231,1095.9
1232,1113.5
1233,1149.3
1234,1172.6
1235,1181.2
1236,1196
1237,1216.2
1238,1238.6
1239,1220.1
1240,1177.8
1241,1189.5
1242,1379.1
1243,1354.5
1244,1327
1245,1290.2
1246,1225.4
1247,1161.1
1248,1137.4
1249,1118.8
1250,1096.8
1251,1070
1252,1091
1253,1044.6
1254,1018.2
1255,1015.2
1256,1104.4
1257,1152.4
1258,1197.8
1259,1189.4
1260,1213
1261,1228.1
1262,1228.5
1263,1207.5
1264,1169.8
1265,1172.6
1266,1394.7
1267,1386.5
1268,1344.5
1269,1295
1270,1234.4
1271,1173.2
1272,1132
1273,1102.1
1274,1082.7
1275,1066.6
1276,1072.5
1277,1059.7
1278,1011.2
1279,1040.3
1280,1078.6
1281,1107.4
1282,1152.1
1283,1158.9
1284,1179.2
1285,1183.9
1286,1196.1
1287,1218.3
1288,1171
1289,1230.8
1290,1385.3
1291,1337.7
1292,1298.7
1293,1276.2
1294,1217.5
1295,1176.6
1296,1147.2
1297,1123.6
1298,1090.3
1299,1078.9
1300,1067.8
1301,1027.9
1302,1011.8
1303,1035.2
1304,1056.8
1305,1117.3
1306,1170
1307,1097.2
1308,1096.9
1309,1099.6
1310,1140.4
1311,1163
1312,1148.5
1313,1203.1
1314,1376.8
1315,1327.2
1316,1284.7
1317,1258.9
1318,1194.1
1319,1161.3
1320,1128.3
1321,1122.6
1322,1103.7
1323,1088.1
1324,1071.6
1325,1018.4
1326,1019
1327,1096.4
1328,1188.2
1329,1207.7
1330,1183.4
1331,1175.4
1332,1107.5
1333,1072
1334,1070.4
1335,1095.3
1336,1089.5
1337,1173
1338,1380.1
1339,1386.7
1340,1344.7
1341,1298.5
1342,1214.8
1343,1170.7
1344,1139.9
1345,1111.1
1346,1095.4
1347,1076.9
1348,1098.9
1349,1087
1350,1031.4
1351,1107.6
1352,1164.4
1353,1225.7
1354,1238.4
1355,1264.1
1356,1262.6
1357,1304.4
1358,1320.4
1359,1291.8
1360,1220.9
1361,1196.6
1362,1425.6
1363,1456.4
1364,1416.2
1365,1357.3
1366,1276.5
1367,1211.7
1368,1175.2
1369,1146.6
1370,1120.5
1371,1123
1372,1194
1373,1126
1374,1065.4
1375,1123
1376,1173.2
1377,1212.3
1378,1244.5
1379,1286.1
1380,1306.5
1381,1344.1
1382,1330.6
1383,1277.6
1384,1232.5
1385,1216.3
1386,1428
1387,1420.2
1388,1402.2
1389,1364.7
1390,1285.3
1391,1214.9
1392,1164.4
1393,1141.9
1394,1107.9
1395,1091.2
1396,1109.1
1397,1106.5
1398,1053.3
1399,1114.3
1400,1159.9
1401,1219.9
1402,1258.8
1403,1275.9
1404,1329.8
1405,1366.1
1406,1314.1
1407,1262.5
1408,1234
1409,1285
1410,1450.9
1411,1427.2
1412,1389.3
1413,1340.1
1414,1273.6
1415,1201.1
1416,1166.4
1417,1135.8
1418,1107.7
1419,1090.3
1420,1105.4
1421,1107.3
1422,1051.4
1423,1095.4
1424,1155.4
1425,1233.4
1426,1272.7
1427,1292.7
1428,1321.8
1429,1331.7
1430,1336
1431,1279.2
1432,1236.2
1433,1262.2
1434,1441.1
1435,1408.5
1436,1367.2
1437,1328.2
1438,1253.9
1439,1194.7
1440,1155.8
1441,1129.2
1442,1111.5
1443,1093.2
1444,1096.4
1445,1101.6
1446,1074.6
1447,1141.3
1448,1194.7
1449,1257.6
1450,1237.1
1451,1216.5
1452,1241.4
1453,1245
1454,1251.1
1455,1204.6
1456,1170.7
1457,1180.5
1458,1371.6
1459,1360
1460,1325.8
1461,1290.3
1462,1236.4
1463,1195.1
1464,1151.2
1465,1132.2
1466,1095
1467,1081.9
1468,1071.5
1469,1048.5
1470,1023.4
1471,1078.6
1472,1115.4
1473,1158.8
1474,1185.7
1475,1190.2
1476,1170.9
1477,1168.3
1478,1200.2
1479,1221.4
1480,1203.2
1481,1215
1482,1430.2
1483,1429.9
1484,1393.1
1485,1331.7
1486,1267.7
1487,1177.4
1488,1141.3
1489,1121.9
1490,1098.5
1491,1073.7
1492,1055.5
1493,1006.4
1494,1005.9
1495,1126.2
1496,1172.5
1497,1202.1
1498,1212.1
1499,1193.1
1500,1126.3
1501,1122.8
1502,1138.7
1503,1099.7
1504,1064.5
1505,1150
1506,1377.7
1507,1380.2
1508,1346.3
1509,1284.9
1510,1207.2
1511,1152.9
1512,1121.5
1513,1096.1
1514,1077.9
1515,1054.4
1516,1067.7
1517,1017
1518,1021.2
1519,1073.8
1520,1127.1
1521,1177.6
1522,1199.1
1523,1223.2
1524,1215.6
1525,1207.7
1526,1215.9
1527,1171.1
1528,1155
1529,1170.5
1530,1363.2
1531,1323.6
1532,1281.4
1533,1231.9
1534,1153.2
1535,1087.2
1536,1044.4
1537,1015.3
1538,992.3
1539,962.8
1540,991.8
1541,984.8
1542,957.2
1543,1019.5
1544,1078.6
1545,1144.8
1546,1173.5
1547,1172.2
1548,1211.5
1549,1255.2
1550,1251.5
1551,1248.2
1552,1181.9
1553,1208.3
1554,1387.8
1555,1372.3
1556,1341.9
1557,1289.9
1558,1201.1
1559,1129.7
1560,1089.2
1561,1061.2
1562,1038.6
1563,1021.5
1564,1032.2
1565,1005.1
1566,995.2
1567,1049.6
1568,1091.5
1569,1151.8
1570,1183.1
1571,1192.4
1572,1222
1573,1293.5
1574,1270.9
1575,1231.7
1576,1178.1
1577,1230.5
1578,1455.7
1579,1411.5
1580,1392.5
1581,1355.4
1582,1271.1
1583,1204.9
1584,1176.8
1585,1147.8
1586,1137.8
1587,1122.1
1588,1148.7
1589,1144
1590,1087.8
1591,1147.5
1592,1193.2
1593,1228
1594,1263.5
1595,1275.7
1596,1290
1597,1302.7
1598,1293.9
1599,1277.9
1600,1256.2
1601,1265.7
1602,1474.5
1603,1430.1
1604,1399.5
1605,1369.5
1606,1302.8
1607,1252.4
1608,1217.2
1609,1199.8
1610,1186.1
1611,1173.6
1612,1173.9
1613,1136.2
1614,1104.8
1615,1154
1616,1178.2
1617,1190.4
1618,1282.9
1619,1235.2
1620,1198.5
1621,1227.3
1622,1221.6
1623,1182.2
1624,1166.2
1625,1250.1
1626,1476.3
1627,1436.9
1628,1416.4
1629,1404.2
1630,1358.5
1631,1296.7
1632,1258.4
1633,1233.3
1634,1211.9
1635,1183.3
1636,1179.1
1637,1116.9
1638,1101.6
1639,1114.3
1640,1133.1
1641,1170.8
1642,1236.9
1643,1204
1644,1188.7
1645,1226.7
1646,1285.3
1647,1273.9
1648,1246.8
1649,1262.7
1650,1490
1651,1489.7
1652,1434.5
1653,1415.2
1654,1378.5
1655,1347.2
1656,1301.5
1657,1257
1658,1237.5
1659,1222.3
1660,1225.1
1661,1191.7
1662,1162.3
1663,1176.5
1664,1211.6
1665,1217.9
1666,1193.3
1667,1162.1
1668,1112.3
1669,1112.9
1670,1115.4
1671,1120.3
1672,1140.5
1673,1220.1
1674,1426.5
1675,1439.6
1676,1431.5
1677,1403.4
1678,1353
1679,1290.4
1680,1259.4
1681,1227
1682,1201.5
1683,1186.1
1684,1186.9
1685,1136.9
1686,1182.9
1687,1268.3
1688,1342.5
1689,1362.5
1690,1394.7
1691,1438.8
1692,1442.3
1693,1451.7
1694,1439.8
1695,1431.2
1696,1361.4
1697,1314.3
1698,1497.1
1699,1513.3
1700,1504.6
1701,1458.5
1702,1379.9
1703,1309.6
1704,1272.9
1705,1243.3
1706,1219.9
1707,1203.7
1708,1210.6
1709,1153.4
1710,1116.8
1711,1186
1712,1260.9
1713,1312.4
1714,1336.4
1715,1350.9
1716,1354.1
1717,1388.7
1718,1384.2
1719,1362.6
1720,1317.4
1721,1256.3
1722,1480.6
1723,1500.7
1724,1500.7
1725,1442
1726,1357.8
1727,1294.8
1728,1256.4
1729,1229.9
1730,1206.5
1731,1192.8
1732,1204.3
1733,1123.5
1734,1105.7
1735,1163.3
1736,1239
1737,1322.5
1738,1385.9
1739,1351.7
1740,1328.6
1741,1386.2
1742,1400.4
1743,1372.1
1744,1322.5
1745,1291.8
1746,1507.9
1747,1521.3
1748,1500.7
1749,1455.9
1750,1367
1751,1308.6
1752,1261.7
1753,1234.6
1754,1219.7
1755,1200.3
1756,1207.1
1757,1136.3
1758,1137
1759,1164.6
1760,1239.1
1761,1280
1762,1292.3
1763,1323.4
1764,1359.9
1765,1392.7
1766,1397.2
1767,1335.9
1768,1297.6
1769,1310.6
1770,1525.4
1771,1509.2
1772,1463.2
1773,1406.7
1774,1337.7
1775,1282.2
1776,1236.8
1777,1221.8
1778,1202.1
1779,1180.2
1780,1185.7
1781,1129.8
1782,1144.2
1783,1195
1784,1232
1785,1307.4
1786,1346.5
1787,1317.4
1788,1355.4
1789,1383.7
1790,1378.8
1791,1339.6
1792,1302.6
1793,1324.8
1794,1571.1
1795,1550.8
1796,1502.6
1797,1451.5
1798,1393.1
1799,1345.3
1800,1303.7
1801,1283.5
1802,1278.6
1803,1251.1
1804,1223.4
1805,1156.8
1806,1187
1807,1181.8
1808,1202.7
1809,1237.7
1810,1248.1
1811,1257.8
1812,1262.7
1813,1268
1814,1336.6
1815,1360.3
1816,1315.5
1817,1352.2
1818,1549.1
1819,1488.5
1820,1462.3
1821,1440.2
1822,1373.3
1823,1325.1
1824,1283.8
1825,1263.7
