t,demand
534,15.35
535,17.89
536,20.26
537,20.84
538,20.86
539,21.01
540,19.29
541,20.35
542,23.41
543,24.63
544,24.4
545,22.8
546,23.89
547,23.58
548,22.8
549,21.99
550,19.92
551,15.59
552,15.86
553,15.24
554,8.92
555,13.89
556,13.84
557,14.16
558,15.2
559,17.53
560,19.23
561,20
562,20.19
563,20.21
564,18.12
565,18.43
566,20.69
567,21.74
568,21.26
569,20.85
570,22.61
571,21.77
572,20.84
573,20.42
574,18.2
575,16.4
576,15.02
577,14.27
578,13.67
579,13.1
580,13.21
581,13.84
582,14.4
583,17.17
584,19.97
585,21.79
586,22.87
587,23.43
588,20.79
589,20.27
590,22.78
591,24.7
592,24.66
593,23.27
594,24.05
595,23.93
596,22.81
597,22.15
598,20.6
599,18.33
600,16.88
601,16.03
602,15.3
603,14.62
604,14.06
605,13.94
606,14
607,15.85
608,18.19
609,20.05
610,21.15
611,22.47
612,21.64
613,21.66
614,22.92
615,22.85
616,22.73
617,22.52
618,24.09
619,24.11
620,23.58
621,23.3
622,21.5
623,19.67
624,18.36
625,17.38
626,16.77
627,16.1
628,15.56
629,15.32
630,14.7
631,15.32
632,16.24
633,16.75
634,16.93
635,17.04
636,17.07
637,16.53
638,16.53
639,17.15
640,17.68
641,18.11
642,20.98
643,21.93
644,22.02
645,21.38
646,19.27
647,17.3
648,15.99
649,15.2
650,14.73
651,14.5
652,14.16
653,14.63
654,15.05
655,18.04
656,20.96
657,21.56
658,21.16
659,21.35
660,19.74
661,21.21
662,24.57
663,26.26
664,25.71
665,23.89
666,24.74
667,23.92
668,22.56
669,22.43
670,19.84
671,17.82
672,16.51
673,15.65
674,15.09
675,14.74
676,14.61
677,15.02
678,15.22
679,17.4
680,20.58
681,21.94
682,22.7
683,22.8
684,20.36
685,21.02
686,23.41
687,24.47
688,24.19
689,23.26
690,24.34
691,24.19
692,23.7
693,23.14
694,21.04
695,18.7
696,16.96
697,15.74
698,15.32
699,14.77
700,14.61
701,14.96
702,15.14
703,17.57
704,20.54
705,22.01
706,23.28
707,23.85
708,22.36
709,23.81
710,26.17
711,27.45
712,26.04
713,24.73
714,25.33
715,24.8
716,23.64
717,23.23
718,21.12
719,19.05
720,17.3
721,16.36
722,15.71
723,15.26
724,15
725,15.09
726,15.39
727,18.47
728,21.59
729,23.31
730,24.65
731,24.76
732,22.45
733,23.73
734,26.99
735,26.31
736,24.34
737,23.12
738,24.05
739,23.64
740,22.86
741,22.49
742,20.28
743,18.31
744,16.73
745,15.75
746,15.03
747,14.38
748,14.32
749,14.67
750,15.23
751,18.16
752,21.26
753,22.2
754,22.4
755,21.63
756,19.17
757,19.24
758,21.43
759,22.4
760,21.91
761,21.4
762,22.81
763,22.42
764,21.13
765,20.65
766,19.43
767,17.44
768,16.37
769,15.51
770,14.76
771,13.99
772,13.73
773,13.36
774,13.36
775,15.16
776,17.6
777,19.39
778,20.49
779,20.93
780,19.54
781,19.7
782,20.38
783,20.09
784,19.51
785,19.5
786,22.08
787,21.98
788,21.35
789,20.98
790,19.51
791,18.14
792,16.97
793,12.94
794,14.66
795,14.18
796,13.58
797,12.93
798,13.15
799,14.44
800,15.6
801,17.3
802,18.56
803,19.3
804,19.49
805,19.48
806,19.58
807,19.76
808,19.67
809,19.55
810,22.49
811,22.87
812,22.71
813,22.13
814,20.81
815,18.78
816,17.36
817,16.52
818,15.94
819,15.64
820,15.45
821,15.25
822,15.66
823,18.66
824,20.89
825,21.44
826,22.62
827,22.86
828,20.23
829,21.07
830,23.08
831,23.7
832,23.14
833,21.94
834,23.34
835,22.9
836,21.97
837,21.31
838,19.5
839,17.47
840,16.15
841,15.35
842,14.95
843,14.59
844,14.12
845,14.52
846,15.1
847,17.95
848,20.5
849,21.76
850,22.86
851,22.16
852,19.67
853,20.87
854,23.9
855,24.53
856,23.99
857,23
858,24.03
859,23.78
860,23.21
861,22.76
862,20.93
863,18.64
864,16.84
865,16.06
866,15.53
867,15.08
868,14.53
869,14.99
870,15.41
871,18.15
872,20.86
873,22.48
874,24.2
875,25.29
876,22.69
877,22.92
878,26.45
879,27.01
880,25.5
881,24.22
882,25.48
883,24.83
884,23.91
885,23.07
886,21.27
887,19.21
888,17.28
889,16.36
890,15.81
891,15.41
892,14.98
893,15.31
894,16.04
895,19.07
896,22.33
897,23.25
898,24.39
899,25.34
900,23.02
901,24.08
902,26.3
903,25.26
904,25.56
905,23.8
906,24.43
907,23.98
908,23.34
909,22.4
910,20.59
911,18.43
912,17
913,16.14
914,15.74
915,15.3
916,1.33
917,15.56
918,16.37
919,18.94
920,22.78
921,24.7
922,26.1
923,26.97
924,25.05
925,26.33
926,29.16
927,29.81
928,28.75
929,26.38
930,27.34
931,25.89
932,24.94
933,24.26
934,22.45
935,20.47
936,19.03
937,17.93
938,17.26
939,16.34
940,15.9
941,15.38
942,15.3
943,16.89
944,18.43
945,19.42
946,20.83
947,22.87
948,21.47
949,20.95
950,22.6
951,22.92
952,21.88
953,21.66
954,23.91
955,23.92
956,23.07
957,23.01
958,21.53
959,19.64
960,17.95
961,17.67
962,17.08
963,16.33
964,15.98
965,15.08
966,14.48
967,15.35
968,16.92
969,17.74
970,18.33
971,19.16
972,19.3
973,19.54
974,19.44
975,19.4
976,19.64
977,19.66
978,22.09
979,23.38
980,23.29
981,21.62
982,19.63
983,18.27
984,17.12
985,16.36
986,15.96
987,15.65
988,15.05
989,15.26
990,15.7
991,18.92
992,22
993,23.17
994,23.79
995,24.45
996,22.69
997,22.7
998,23.51
999,23.79
1000,23.22
1001,22.59
1002,23.62
1003,23.33
1004,22.65
