t,demand
468,5225.1
469,5137
470,5385.9
471,5606.3
472,5464.3
473,5355.7
474,5908.3
475,5941
476,5878.7
477,5684
478,5388.3
479,5050.6
480,4669.8
481,4408
482,4233.5
483,4089.6
484,3788.8
485,3555.9
486,3450.5
487,3681.5
488,4004.4
489,4296.1
490,4411
491,4505.5
492,4429.1
493,4328.8
494,4333.6
495,4433.1
496,4523.6
497,4486.8
498,5161.2
499,5413.2
500,5523
501,5389.6
502,4986.1
503,4529.1
504,4161.7
505,3868
506,3834.6
507,3748.2
508,3626.8
509,3548.3
510,3769.3
511,4376.9
512,5182.8
513,5584.4
514,6047.4
515,6258.1
516,5232.3
517,5003.6
518,5709.4
519,5965.8
520,5834.1
521,5570.9
522,5931.1
523,5774.3
524,5642.7
525,5490.1
526,5067.9
527,4549.6
528,4200
529,3951.9
530,3838.8
531,3761.2
532,3558.4
533,3602
534,3780.1
535,4486.1
536,5154.6
537,5459.7
538,5824.2
539,5962.4
540,5495.6
541,5763.1
542,6578.4
543,6773
544,6652.5
545,6291.8
546,6497.1
547,6383.5
548,6204.5
549,5785
550,5251.1
551,4648.9
552,4267.1
553,4009.7
554,3823.7
555,3690.6
556,3550.1
557,3609.8
558,3852.4
559,4563.4
560,5337
561,5790.2
562,6180.3
563,6302
564,5526.6
565,5580.6
566,5965.7
567,5903.9
568,5754.1
569,5570
570,5913.2
571,5668.5
572,5547.4
573,5350.8
574,4945
575,4458.4
576,4086.4
577,3901.2
578,3790.1
579,3704.9
580,3504.7
581,3560.3
582,3737.2
583,4405.6
584,5005.9
585,5325.7
586,5607.6
587,5840.5
588,5320.8
589,5344.4
590,5289.1
591,5276.7
592,5275.7
593,5166.8
594,5532.2
595,5463.5
596,5340.7
597,5031.1
598,4552.3
599,3996.8
600,3640.8
601,3440.8
602,3342.8
603,3239.4
604,3141.8
605,3239.6
606,3485.9
607,4059.8
608,4700.9
609,5089.9
610,5627.9
611,5960.4
612,5491.7
613,5757.8
614,6461.2
615,6740.4
616,6334.7
617,5862.6
618,6098.7
619,6011.8
620,5875.4
621,5640.7
622,5208.9
623,4724.1
624,4353.6
625,4081.5
626,3889.5
627,3647.4
628,3497.7
629,3393
630,3467.4
631,3944.1
632,4521.9
633,5010.6
634,5268.5
635,5348.7
636,5300.7
637,5255.9
638,5560.3
639,5681.4
640,5627.7
641,5513.8
642,5998.3
643,5939.2
644,5782.1
645,5569.4
646,5166.7
647,4813.6
648,4504.9
649,4298
650,4131
651,4013.5
652,3827.7
653,3570.9
654,3504.2
655,3775.4
656,4190.4
657,4652.8
658,4790.6
659,4847.4
660,4884.2
661,4874
662,4893.9
663,5009.1
664,5011.7
665,4948.3
666,5516.3
667,5828.5
668,6044.2
669,5864.6
670,5353.9
671,4801.4
672,4422.2
673,4158.8
674,4019
675,3919.5
676,3669
677,3755.6
678,4018.4
679,4827.8
680,5552.2
681,5875.6
682,6170.5
683,6321.7
684,5790.4
685,6096.7
686,6685.9
687,6676.4
688,6540.8
689,6174.8
690,6528.8
691,6432.3
692,6310.1
693,6080
694,5602.7
695,5017
696,4583.8
697,4380.3
698,4226
699,4110.6
700,4009.2
701,3925
702,4103.1
703,4962.3
704,5824.7
705,6157.6
706,6450.3
707,6468.6
708,5883.2
709,6214.5
710,7083.1
711,7108
712,7135.4
713,6615.6
714,6819.4
715,6633.9
716,6420.3
717,6239.4
718,5722.6
719,5127.1
720,4711.1
721,4474.3
722,4308.8
723,4197.1
724,3944.5
725,3987.2
726,4261.3
727,5214.1
728,6077.6
729,6626
730,6888
731,7022.8
732,6275.4
733,6598.5
734,7418.6
735,7497.1
736,7396.5
737,7000.6
738,7067.4
739,6967.6
740,6945.7
741,6693
742,6148.2
743,5371.7
744,4867.5
745,4538
746,4390.2
747,4289.4
748,4105.6
749,3970.9
750,4173.6
