t;DNI;t_ambt;Wt;Qt;RDIFUSA
0;0;25.08;0.9;0;0
1;0;24.87;0.93;0;0
2;0;24.65;1;0;0
3;0;24.4;1.11;0;0
4;0;24.15;1.19;0;0
5;10.8;24.02;1.21;0;10.8
6;116.84;24.19;1.07;0;116.84
7;265.7;25.22;0.49;0;265.7
8;404.77;26.04;0.5;0;404.77
9;573.47;26.88;0.78;0;573.47
10;528.66;27.49;1.01;0;528.66
11;183.84;27.95;1.09;0;183.84
12;203.74;28.25;1.11;0;203.74
13;268.06;28.21;0.98;0;268.06
14;335;27.89;0.76;0;335
15;309.2;27.42;0.49;0;309.2
16;140.97;26.86;0.31;0;140.97
17;26.12;26.23;0.35;0;26.12
18;0;25.77;0.78;0;0
19;0;25.51;0.97;0;0
20;0;25.12;1.19;0;0
21;0;24.63;1.31;0;0
22;0;24.3;1.2;0;0
23;0;24.14;0.91;0;0
24;0;24.04;0.91;0;0
25;0;23.83;0.95;0;0
26;0;23.66;0.95;0;0
27;0;23.52;0.87;0;0
28;0;23.33;0.87;0;0
29;9.2;23.15;0.87;0;9.2
30;92.88;23.84;0.87;0;92.88
31;237.21;24.81;0.79;0;237.21
32;430.78;25.79;0.88;0;430.78
33;628.48;27.02;0.88;0;628.48
34;803.23;27.96;0.81;0;803.23
35;778.88;28.57;0.73;0;778.88
36;848.51;28.88;0.66;0;848.51
37;796.88;28.93;0.61;0;796.88
38;634.65;28.63;0.56;0;634.65
39;452.27;28.15;0.4;0;452.27
40;237.88;27.61;0.24;0;237.88
41;43.18;27.11;0.53;0;43.18
42;0;26.8;0.82;0;0
43;0;26.61;0.95;0;0
44;0;26.25;1.09;0;0
45;0;25.76;1.28;0;0
46;0;25.12;1.47;0;0
47;0;24.54;1.52;0;0
48;0;24.18;1.23;0;0
49;0;24.18;1.02;0;0
50;0;24.1;0.96;0;0
51;0;23.93;0.77;0;0
52;0;23.76;1.06;0;0
53;9.7;23.53;1.23;0;9.7
54;139.64;24;0.85;0;139.64
55;379.9;24.91;0.5;0;379.9
56;550.08;25.95;0.5;0;550.08
57;628.99;27.08;0.69;0;628.99
58;844.23;28.07;0.78;0;844.23
59;883.23;28.72;0.78;0;883.23
60;825.6;29.01;0.72;0;825.6
61;746.76;29.01;0.63;0;746.76
62;549.92;28.71;0.52;0;549.92
63;313.71;28.15;0.32;0;313.71
64;167.77;27.7;0.39;0;167.77
65;27.81;27.03;0.66;0;27.81
66;0;26;1.13;0;0
67;0;25.33;1.17;0;0
68;0;25.12;0.96;0;0
69;0;24.98;0.96;0;0
70;0;24.83;0.84;0;0
71;0;24.61;0.74;0;0
72;0;24.36;0.83;0;0
73;0;24.14;1.11;0;0
74;0;23.96;1.28;0;0
75;0;23.82;1.37;0;0
76;0;23.6;1.42;0;0
77;7.14;23.37;1.38;0;7.14
78;105.33;24.05;0.95;0;105.33
79;274.88;25.35;0.73;0;274.88
80;449.44;26.4;0.76;0;449.44
81;692.43;27.39;0.86;0;692.43
82;838.52;28.26;0.9;0;838.52
83;839.63;28.76;0.83;0;839.63
84;841.66;28.97;0.68;0;841.66
85;729.77;28.92;0.53;0;729.77
86;611.55;28.69;0.43;0;611.55
87;427.85;28.34;0.28;0;427.85
88;215.75;27.85;0.2;0;215.75
89;40.59;27.37;0.49;0;40.59
90;0;27.09;0.71;0;0
91;0;26.94;0.86;0;0
92;0;26.62;1.07;0;0
93;0;26.19;1.26;0;0
94;0;25.88;1.33;0;0
95;0;25.7;1.29;0;0
96;0;25.54;1.21;0;0
97;0;25.28;1.21;0;0
98;0;25.02;1.23;0;0
99;0;24.69;1.31;0;0
100;0;24.51;1.32;0;0
101;6.66;24.37;1.3;0;6.66
102;93.57;24.44;1.19;0;93.57
103;249.38;25.62;0.53;0;249.38
104;408.73;26.37;0.38;0;408.73
105;654.98;26.71;0.29;0;654.98
106;812.48;27.01;0.22;0;812.48
107;878.05;27.43;0.16;0;878.05
108;836.77;27.85;0.15;0;836.77
109;789.62;27.99;0.16;0;789.62
110;624.59;27.86;0.23;0;624.59
111;389.45;27.48;0.29;0;389.45
112;185.05;26.95;0.3;0;185.05
113;32.97;26.29;0.6;0;32.97
114;0;25.5;0.97;0;0
115;0;25.15;0.84;0;0
116;0;25.02;0.92;0;0
117;0;24.91;0.9;0;0
118;0;24.7;0.77;0;0
119;0;24.45;1.05;0;0
120;0;24.21;1.31;0;0
121;0;24.08;1.33;0;0
122;0;24.08;1.25;0;0
123;0;24.1;1.16;0;0
124;0;24.15;1.04;0;0
125;7.21;24.11;1;0;7.21
126;84.45;24.21;0.96;0;84.45
127;216.17;25.22;0.49;0;216.17
128;342.48;26.1;0.34;0;342.48
129;376.3;27;0.26;0;376.3
130;450.69;27.99;0.16;0;450.69
131;571.69;28.69;0.2;0;571.69
132;680.25;29.05;0.23;0;680.25
133;691.09;29.11;0.21;0;691.09
134;599.62;28.87;0.17;0;599.62
135;430.19;28.34;0.14;0;430.19
136;207.19;27.83;0.14;0;207.19
137;37.3;27.23;0.37;0;37.3
138;0;26.87;0.63;0;0
139;0;26.4;0.95;0;0
140;0;25.83;1.27;0;0
141;0;25.38;1.44;0;0
142;0;25.14;1.45;0;0
143;0;24.94;1.43;0;0
144;0;24.68;1.42;0;0
145;0;24.4;1.42;0;0
146;0;24.18;1.41;0;0
147;0;24.02;1.4;0;0
148;0;23.93;1.39;0;0
149;5.28;23.86;1.4;0;5.28
150;38.04;24.23;0.95;0;38.04
151;93.95;25.1;0.59;0;93.95
152;133.61;25.79;0.38;0;133.61
153;86.97;26.42;0.47;0;86.97
154;121.79;27;0.43;0;121.79
155;133.16;27.47;0.42;0;133.16
156;260.92;27.61;0.39;0;260.92
157;200.65;27.41;0.3;0;200.65
158;239.95;26.98;0.21;0;239.95
159;215.82;26.52;0.21;0;215.82
160;108.4;26.2;0.21;0;108.4
161;25.65;25.88;0.41;0;25.65
162;0;25.32;0.86;0;0
163;0;24.81;1.07;0;0
164;0;24.41;1.09;0;0
165;0;24.08;1.03;0;0
166;0;23.89;0.91;0;0
167;0;23.8;0.87;0;0
168;0;23.66;0.8;0;0
169;0;23.5;0.81;0;0
170;0;23.27;0.95;0;0
171;0;23.01;1.19;0;0
172;0;22.77;1.25;0;0
173;6.38;22.6;1.34;0;6.38
174;62.57;23.54;0.92;0;62.57
175;193.23;24.8;0.6;0;193.23
176;333.95;25.83;0.67;0;333.95
177;491.24;26.92;0.66;0;491.24
178;559.73;27.62;0.59;0;559.73
179;603.07;28.15;0.59;0;603.07
180;578.93;28.48;0.67;0;578.93
181;507.73;28.53;0.72;0;507.73
182;520.27;28.38;0.71;0;520.27
183;375.93;28.04;0.58;0;375.93
184;192.93;27.53;0.32;0;192.93
185;40.34;26.97;0.44;0;40.34
186;0;26.56;0.61;0;0
187;0;26.4;0.75;0;0
188;0;26.1;0.86;0;0
189;0;25.62;1.04;0;0
190;0;25.08;1.19;0;0
191;0;24.58;1.29;0;0
192;0;24.15;1.33;0;0
193;0;23.79;1.37;0;0
194;0;23.48;1.41;0;0
195;0;23.23;1.46;0;0
196;0;22.98;1.53;0;0
197;6.86;22.77;1.56;0;6.86
198;109.8;23.57;1.04;0;109.8
199;288.05;25.27;0.68;0;288.05
200;480.91;26.27;0.7;0;480.91
201;657.15;27.15;0.71;0;657.15
202;775.82;27.83;0.73;0;775.82
203;770.95;28.29;0.7;0;770.95
204;632.92;28.53;0.61;0;632.92
205;422.1;28.57;0.5;0;422.1
206;181.19;28.43;0.4;0;181.19
207;117.27;27.97;0.34;0;117.27
208;69.77;27.4;0.39;0;69.77
209;22.89;26.4;0.41;0;22.89
210;0;25.3;0.97;0;0
211;0;24.63;1.02;0;0
212;0;24.3;0.8;0;0
213;0;24.12;0.79;0;0
214;0;23.91;0.73;0;0
215;0;23.75;0.78;0;0
216;0;23.59;0.88;0;0
217;0;23.51;0.91;0;0
218;0;23.37;0.89;0;0
219;0;23.21;0.89;0;0
220;0;23.11;0.78;0;0
221;5.84;22.98;0.75;0;5.84
222;61.44;23.57;0.73;0;61.44
223;167.93;24.47;0.55;0;167.93
224;267.7;25.12;0.73;0;267.7
225;459.27;25.89;0.74;0;459.27
226;603.26;26.58;0.76;0;603.26
227;618.77;27.17;0.77;0;618.77
228;644.47;27.43;0.77;0;644.47
229;548.49;27.29;0.75;0;548.49
230;402.96;26.76;0.69;0;402.96
231;281.88;25.92;0.6;0;281.88
232;141.41;25.29;0.5;0;141.41
233;27.95;24.72;0.52;0;27.95
234;0;24.14;0.73;0;0
235;0;23.86;0.84;0;0
236;0;23.65;0.85;0;0
237;0;23.46;0.83;0;0
238;0;23.33;0.79;0;0
239;0;23.15;0.76;0;0
240;0;22.92;0.73;0;0
241;0;22.7;1.04;0;0
242;0;22.54;1.1;0;0
243;0;22.47;1.15;0;0
244;0;22.45;1.28;0;0
245;5.69;22.44;1.33;0;5.69
246;72.05;22.94;0.99;0;72.05
247;182.01;23.89;0.51;0;182.01
248;309.92;24.52;0.3;0;309.92
249;478.34;25.04;0.31;0;478.34
250;570.55;25.42;0.32;0;570.55
251;721.18;26.01;0.32;0;721.18
252;709.55;26.73;0.34;0;709.55
253;686.27;27.12;0.32;0;686.27
254;440.37;27.05;0.28;0;440.37
255;282.42;26.73;0.17;0;282.42
256;174.8;26.12;0.14;0;174.8
257;43.48;25.6;0.31;0;43.48
258;0;25.55;0.47;0;0
259;0;25.4;0.66;0;0
260;0;25.12;0.87;0;0
261;0;24.79;1.07;0;0
262;0;24.48;1.2;0;0
263;0;24.11;1.32;0;0
264;0;23.7;1.42;0;0
265;0;23.21;1.55;0;0
266;0;22.83;1.64;0;0
267;0;22.58;1.64;0;0
268;0;22.51;1.61;0;0
269;5.95;22.54;1.54;0;5.95
270;80.23;23.29;0.98;0;80.23
271;236.77;24.38;0.44;0;236.77
272;366.83;25.42;0.36;0;366.83
273;574.71;26.42;0.3;0;574.71
274;640.3;27.48;0.25;0;640.3
275;641.95;28.23;0.2;0;641.95
276;698.46;28.55;0.24;0;698.46
277;670.57;28.53;0.27;0;670.57
278;465.05;28.3;0.29;0;465.05
279;248.41;27.83;0.25;0;248.41
280;102.22;27.32;0.18;0;102.22
281;27.02;26.73;0.35;0;27.02
282;0;26.3;0.77;0;0
283;0;25.78;1.09;0;0
284;0;25.19;1.32;0;0
285;0;24.63;1.48;0;0
286;0;24.12;1.54;0;0
287;0;23.79;1.31;0;0
288;0;23.67;0.95;0;0
289;0;23.61;0.84;0;0
290;0;23.51;0.77;0;0
291;0;23.4;0.7;0;0
292;0;23.23;0.98;0;0
293;6.99;23.06;1.15;0;6.99
294;110.71;23.37;0.86;0;110.71
295;295;24.17;0.56;0;295
296;465.41;24.83;0.33;0;465.41
297;597.83;25.5;0.37;0;597.83
298;699.52;26.07;0.39;0;699.52
299;659.41;26.6;0.37;0;659.41
300;624.66;26.92;0.32;0;624.66
301;538.45;27.12;0.32;0;538.45
302;402.89;27.05;0.36;0;402.89
303;173.18;26.83;0.36;0;173.18
304;100.59;26.44;0.32;0;100.59
305;27.52;25.82;0.4;0;27.52
306;0;25.33;0.88;0;0
307;0;24.92;1.13;0;0
308;0;24.57;1.28;0;0
309;0;24.18;1.41;0;0
310;0;23.85;1.5;0;0
311;0;23.55;1.55;0;0
312;0;23.29;1.28;0;0
313;0;23.32;0.96;0;0
314;0;23.3;0.9;0;0
315;0;23.29;0.83;0;0
316;0;23.23;0.97;0;0
317;5.2;23.21;1.28;0;5.2
318;51.92;23.57;1.02;0;51.92
319;188.02;24.63;0.53;0;188.02
320;361.77;25.37;0.49;0;361.77
321;602.41;25.84;0.69;0;602.41
322;689.42;26.37;0.75;0;689.42
323;756.24;26.99;0.81;0;756.24
324;718.65;27.34;0.81;0;718.65
325;693.03;27.52;0.75;0;693.03
326;515.68;27.46;0.62;0;515.68
327;322.47;27.22;0.45;0;322.47
328;189.95;26.76;0.24;0;189.95
329;41.04;26.19;0.46;0;41.04
330;0;25.74;0.97;0;0
331;0;25.3;1.24;0;0
332;0;24.94;1.42;0;0
333;0;24.75;1.48;0;0
334;0;24.76;1.38;0;0
335;0;24.81;1.2;0;0
336;0;24.54;1.24;0;0
337;0;24.05;1.43;0;0
338;0;23.77;1.5;0;0
339;0;23.57;1.46;0;0
340;0;23.49;1.26;0;0
341;6.05;23.44;1.26;0;6.05
342;41.21;23.68;1.03;0;41.21
343;122.56;24.59;0.75;0;122.56
344;208.73;25.29;0.52;0;208.73
345;303.74;25.94;0.69;0;303.74
346;444.48;26.33;0.87;0;444.48
347;692.98;26.68;0.91;0;692.98
348;653.88;26.9;0.82;0;653.88
349;561.98;26.98;0.72;0;561.98
350;346.3;26.71;0.55;0;346.3
351;154.8;26.28;0.36;0;154.8
352;61.61;25.89;0.28;0;61.61
353;19.58;25.54;0.59;0;19.58
354;0;25.15;0.93;0;0
355;0;24.98;0.97;0;0
356;0;24.8;1.02;0;0
357;0;24.44;1.16;0;0
358;0;23.98;1.32;0;0
359;0;23.56;1.42;0;0
360;0;23.27;1.41;0;0
361;0;23.12;1.15;0;0
362;0;23;1.12;0;0
363;0;22.89;0.9;0;0
364;0;22.82;0.93;0;0
365;4.85;22.75;1.16;0;4.85
366;18.84;23.1;0.79;0;18.84
367;78.02;23.76;0.45;0;78.02
368;163.66;24.46;0.35;0;163.66
369;234.91;24.76;0.55;0;234.91
370;248.8;24.95;0.64;0;248.8
371;335.45;25.25;0.72;0;335.45
372;329.21;25.44;0.77;0;329.21
373;302.88;25.55;0.81;0;302.88
374;285.74;25.43;0.81;0;285.74
375;211.02;25.16;0.76;0;211.02
376;113.69;24.77;0.52;0;113.69
377;29.3;24.32;0.4;0;29.3
378;0;23.75;0.99;0;0
379;0;23.43;1.13;0;0
380;0;23.26;1.16;0;0
381;0;23.17;1.16;0;0
382;0;23.09;1.17;0;0
383;0;22.98;1.17;0;0
384;0;22.85;1.17;0;0
385;0;22.71;1.18;0;0
386;0;22.49;1.26;0;0
387;0;22.14;1.41;0;0
388;0;22.14;1.37;0;0
389;5.46;22.39;1.16;0;5.46
390;33.04;22.93;0.79;0;33.04
391;127.28;23.83;0.24;0;127.28
392;227.94;24.86;0.36;0;227.94
393;276.62;26.24;0.35;0;276.62
394;371.1;26.93;0.4;0;371.1
395;448.03;27.19;0.52;0;448.03
396;420.42;27.12;0.58;0;420.42
397;381.64;26.92;0.5;0;381.64
398;373.84;26.77;0.36;0;373.84
399;346.17;26.62;0.2;0;346.17
400;177.62;26.13;0.1;0;177.62
401;42.21;25.26;0.24;0;42.21
402;0;24.51;0.66;0;0
403;0;24.18;1.01;0;0
404;0;23.82;1.22;0;0
405;0;23.51;1.3;0;0
406;0;23.35;1.27;0;0
407;0;23.3;1.18;0;0
408;0;23.31;1.03;0;0
409;0;23.28;0.93;0;0
410;0;23.06;1;0;0
411;0;22.75;1.17;0;0
412;0;22.44;1.33;0;0
413;6.52;22.26;1.42;0;6.52
414;99.33;23.14;0.88;0;99.33
415;278.68;24.93;0.4;0;278.68
416;500.94;26.39;0.29;0;500.94
417;694.29;27.55;0.27;0;694.29
418;814.78;28.38;0.34;0;814.78
419;810.8;28.92;0.45;0;810.8
420;750.73;29.21;0.54;0;750.73
421;718.83;29.19;0.57;0;718.83
422;600.39;28.96;0.54;0;600.39
423;409.17;28.47;0.4;0;409.17
424;212.98;27.76;0.18;0;212.98
425;42.93;26.94;0.36;0;42.93
426;0;26.35;0.71;0;0
427;0;25.84;1.01;0;0
428;0;25.33;1.2;0;0
429;0;24.98;1.26;0;0
430;0;24.81;1.23;0;0
431;0;24.75;1.12;0;0
432;0;24.66;1.02;0;0
433;0;24.5;1;0;0
434;0;24.2;1.09;0;0
435;0;23.87;1.23;0;0
436;0;23.63;1.28;0;0
437;6.56;23.45;1.26;0;6.56
438;61.18;23.77;0.88;0;61.18
439;144.84;24.51;0.64;0;144.84
440;255.55;25.05;0.54;0;255.55
441;406.64;25.61;0.56;0;406.64
442;523.05;26.01;0.74;0;523.05
443;558.62;26.44;0.78;0;558.62
444;643.95;26.83;0.72;0;643.95
445;658.06;27.06;0.68;0;658.06
446;516.16;27.19;0.65;0;516.16
447;287.22;26.94;0.39;0;287.22
448;148.91;26.41;0.12;0;148.91
449;33.83;25.95;0.26;0;33.83
450;0;25.64;0.73;0;0
451;0;25.17;1.04;0;0
452;0;24.62;1.32;0;0
453;0;24.18;1.47;0;0
454;0;23.94;1.5;0;0
455;0;23.82;1.47;0;0
456;0;23.7;1.43;0;0
457;0;23.57;1.43;0;0
458;0;23.4;1.46;0;0
459;0;23.15;1.53;0;0
460;0;23.04;1.54;0;0
461;5.3;23.1;1.46;0;5.3
462;45.9;23.78;1.02;0;45.9
463;204.85;24.94;0.38;0;204.85
464;363.64;25.73;0.33;0;363.64
465;538.21;26.55;0.29;0;538.21
466;577.84;27.38;0.28;0;577.84
467;722.71;28.12;0.37;0;722.71
468;695.53;28.4;0.37;0;695.53
469;516.1;28.35;0.33;0;516.1
470;401.84;27.98;0.22;0;401.84
471;325.44;27.3;0.09;0;325.44
472;161.61;25.92;0.32;0;161.61
473;45.16;26.05;0.33;0;45.16
474;0;25.8;0.71;0;0
475;0;25.4;1.03;0;0
476;0;24.91;1.3;0;0
477;0;24.48;1.46;0;0
478;0;24.18;1.52;0;0
479;0;24.05;1.49;0;0
480;0;24.03;1.43;0;0
481;0;23.97;1.38;0;0
482;0;23.83;1.39;0;0
483;0;23.62;1.44;0;0
484;0;23.56;1.41;0;0
485;5.94;23.68;1.27;0;5.94
486;62.52;23.98;1.05;0;62.52
487;195.19;24.9;0.56;0;195.19
488;361.8;25.59;0.63;0;361.8
489;508.16;26.44;0.77;0;508.16
490;625.19;27.61;0.87;0;625.19
491;682.76;28.3;0.86;0;682.76
492;594.34;28.63;0.7;0;594.34
493;393.36;28.58;0.56;0;393.36
494;281.75;28.21;0.43;0;281.75
495;278.82;27.62;0.28;0;278.82
496;147.8;27.16;0.3;0;147.8
497;38.41;26.75;0.44;0;38.41
498;0;26.44;0.51;0;0
499;0;26.36;0.69;0;0
500;0;26.26;0.76;0;0
501;0;26.19;0.71;0;0
502;0;26.05;0.68;0;0
503;0;25.77;0.73;0;0
504;0;25.41;0.85;0;0
505;0;24.86;1.1;0;0
506;0;24.12;1.4;0;0
507;0;23.69;1.53;0;0
508;0;23.97;1.24;0;0
509;0;24.12;1.01;0;0
510;53.54;24.14;0.89;0;53.54
511;164.29;24.87;0.62;0;164.29
512;291.11;25.67;0.44;0;291.11
513;460.03;26.38;0.44;0;460.03
514;587.95;27.34;0.45;0;587.95
515;466.78;28.19;0.49;0;466.78
516;289.7;28.59;0.63;0;289.7
517;248.44;28.81;0.71;0;248.44
518;334.68;28.61;0.77;0;334.68
519;288.8;28.02;0.67;0;288.8
520;160.91;27.46;0.44;0;160.91
521;40.95;26.76;0.48;0;40.95
522;0;25.98;1.03;0;0
523;0;25.4;1.17;0;0
524;0;25.05;1.14;0;0
525;0;24.8;1.09;0;0
526;0;24.65;0.99;0;0
527;0;24.49;0.99;0;0
528;0;24.28;0.99;0;0
529;0;24.1;0.97;0;0
530;0;24.11;0.84;0;0
531;0;24.03;0.9;0;0
532;0;23.8;0.96;0;0
533;0;23.68;0.88;0;0
534;55.15;23.87;0.74;0;55.15
535;154.83;24.34;0.69;0;154.83
536;276.34;24.85;0.49;0;276.34
537;455.7;25.51;0.53;0;455.7
538;616.38;26.51;0.66;0;616.38
539;759.01;27.78;0.75;0;759.01
540;807.12;28.27;0.82;0;807.12
541;625.42;28.09;0.74;0;625.42
542;450.06;27.58;0.51;0;450.06
543;306.6;27.12;0.36;0;306.6
544;165.2;26.66;0.27;0;165.2
545;37.8;26.18;0.43;0;37.8
546;0;26.06;0.62;0;0
547;0;26.1;0.51;0;0
548;0;26.07;0.33;0;0
549;0;25.98;0.27;0;0
550;0;25.77;0.44;0;0
551;0;25.36;0.79;0;0
552;0;24.92;1;0;0
553;0;24.48;1.16;0;0
554;0;24.02;1.29;0;0
555;0;23.66;1.38;0;0
556;0;23.43;1.39;0;0
557;0;23.2;1.42;0;0
558;67.87;23.87;0.97;0;67.87
559;199.98;25.2;0.62;0;199.98
560;364.28;26.52;0.67;0;364.28
561;506.55;27.72;0.66;0;506.55
562;584.29;28.37;0.58;0;584.29
563;684.02;28.69;0.48;0;684.02
564;646.54;28.76;0.43;0;646.54
565;548.82;28.7;0.35;0;548.82
566;133.36;28.33;0.22;0;133.36
567;109.73;27.69;0.25;0;109.73
568;51.3;27.16;0.17;0;51.3
569;22.75;26.81;0.12;0;22.75
570;0;26.71;0.52;0;0
571;0;26.37;0.84;0;0
572;0;25.91;1.04;0;0
573;0;25.3;1.27;0;0
574;0;24.76;1.39;0;0
575;0;24.4;1.36;0;0
576;0;24.26;1.16;0;0
577;0;24.3;1.08;0;0
578;0;24.33;0.89;0;0
579;0;24.33;0.79;0;0
580;0;24.31;0.74;0;0
581;0;24.27;0.73;0;0
582;45.05;24.33;0.69;0;45.05
583;140.04;24.59;0.54;0;140.04
584;242.09;25.06;0.38;0;242.09
585;372.21;25.63;0.55;0;372.21
586;535.92;26.09;0.75;0;535.92
587;587.88;26.34;0.81;0;587.88
588;390.2;26.38;0.82;0;390.2
589;156.32;26.32;0.77;0;156.32
590;107.45;26.19;0.72;0;107.45
591;123.6;25.86;0.63;0;123.6
592;84.88;25.45;0.48;0;84.88
593;25.79;24.95;0.42;0;25.79
594;0;24.3;0.78;0;0
595;0;23.9;0.83;0;0
596;0;23.66;0.91;0;0
597;0;23.45;0.86;0;0
598;0;23.28;0.89;0;0
599;0;23.15;1.07;0;0
600;0;22.97;1.13;0;0
601;0;22.72;1.23;0;0
602;0;22.37;1.38;0;0
603;0;21.97;1.39;0;0
604;0;21.82;1.15;0;0
605;0;21.86;1.1;0;0
606;104.69;22.89;0.8;0;104.69
607;268.6;24.23;0.46;0;268.6
608;476.27;25.73;0.62;0;476.27
609;749.87;27.51;0.75;0;749.87
610;880.27;28.64;0.83;0;880.27
611;816.44;29.15;0.79;0;816.44
612;711.9;29.31;0.7;0;711.9
613;665.16;29.18;0.57;0;665.16
614;532.62;28.93;0.44;0;532.62
615;385.77;28.55;0.3;0;385.77
616;208.87;27.94;0.2;0;208.87
617;44.86;27.16;0.41;0;44.86
618;0;26.57;0.81;0;0
619;0;26.29;0.92;0;0
620;0;26.29;0.71;0;0
621;0;26.4;0.33;0;0
622;0;26.34;0.32;0;0
623;0;26.16;0.46;0;0
624;0;25.96;0.57;0;0
625;0;25.66;0.77;0;0
626;0;25.25;1;0;0
627;0;24.93;1.14;0;0
628;0;24.75;1.16;0;0
629;0;24.62;1.11;0;0
630;82.2;24.62;1.03;0;82.2
631;240.87;25.14;0.51;0;240.87
632;429.65;25.73;0.58;0;429.65
633;670.61;26.49;0.53;0;670.61
634;658.82;27.1;0.46;0;658.82
635;716.27;27.57;0.37;0;716.27
636;773.19;27.76;0.34;0;773.19
637;625.5;27.71;0.4;0;625.5
638;485.2;27.4;0.47;0;485.2
639;300.7;26.94;0.42;0;300.7
640;141.48;26.48;0.42;0;141.48
641;33.33;25.95;0.5;0;33.33
642;0;25.25;0.92;0;0
643;0;24.87;0.94;0;0
644;0;24.67;0.84;0;0
645;0;24.49;0.82;0;0
646;0;24.37;0.8;0;0
647;0;24.25;0.82;0;0
648;0;24.15;0.82;0;0
649;0;24.08;0.78;0;0
650;0;23.98;0.84;0;0
651;0;23.89;1.11;0;0
652;0;23.75;1.14;0;0
653;0;23.69;1.02;0;0
654;62.98;24.24;0.79;0;62.98
655;184.71;25.01;0.6;0;184.71
656;368.46;25.9;0.55;0;368.46
657;448.95;26.66;0.86;0;448.95
658;645.62;27.7;0.93;0;645.62
659;723.09;28.4;0.88;0;723.09
660;622.22;28.66;0.78;0;622.22
661;663.84;28.75;0.74;0;663.84
662;529.95;28.67;0.69;0;529.95
663;397.96;28.28;0.52;0;397.96
664;230.42;27.76;0.24;0;230.42
665;46.33;27.4;0.4;0;46.33
666;0;27.01;0.75;0;0
667;0;26.67;1.02;0;0
668;0;26.3;1.2;0;0
669;0;26;1.3;0;0
670;0;25.65;1.38;0;0
671;0;25.31;1.42;0;0
672;0;25.07;1.38;0;0
673;0;24.86;1.15;0;0
674;0;24.75;0.86;0;0
675;0;24.67;0.78;0;0
676;0;24.58;0.78;0;0
677;0;24.53;0.74;0;0
678;34.71;24.94;0.77;0;34.71
679;123.67;25.8;0.64;0;123.67
680;221.46;26.45;0.71;0;221.46
681;329.98;26.85;0.82;0;329.98
682;411.46;27.08;0.84;0;411.46
683;554.01;27.27;0.87;0;554.01
684;694.46;27.46;0.85;0;694.46
685;637.17;27.51;0.72;0;637.17
686;494.58;27.4;0.56;0;494.58
687;231.71;27.22;0.39;0;231.71
688;133.78;26.94;0.16;0;133.78
689;30.43;26.43;0.35;0;30.43
690;0;25.9;0.91;0;0
691;0;25.5;1.23;0;0
692;0;25.19;1.41;0;0
693;0;24.98;1.46;0;0
694;0;24.83;1.26;0;0
695;0;24.8;0.86;0;0
696;0;24.73;0.8;0;0
697;0;24.51;0.81;0;0
698;0;24.29;0.87;0;0
699;0;24.19;0.92;0;0
700;0;24.12;0.85;0;0
701;0;24.04;0.84;0;0
702;65.27;24.91;0.97;0;65.27
703;203.13;26.44;1.1;0;203.13
704;326.52;27.67;1.21;0;326.52
705;534.84;28.91;0.72;0;534.84
706;715.31;29.36;0.64;0;715.31
707;817.97;29.24;0.51;0;817.97
708;832.18;29.37;0.61;0;832.18
709;739.38;29.15;0.56;0;739.38
710;563.54;28.78;0.45;0;563.54
711;410.91;28.34;0.31;0;410.91
712;224.14;27.77;0.23;0;224.14
713;53.23;27.37;0.37;0;53.23
714;0;27.33;0.38;0;0
715;0;27.37;0.41;0;0
716;0;27.19;0.6;0;0
717;0;26.99;0.68;0;0
718;0;26.9;0.6;0;0
719;0;26.83;0.38;0;0
720;0;26.57;0.4;0;0
721;0;26.26;0.58;0;0
722;0;25.98;0.78;0;0
723;0;25.6;1.04;0;0
724;0;25.48;1.02;0;0
725;0;25.55;0.86;0;0
726;96.57;25.7;0.78;0;96.57
727;270.21;26.29;0.42;0;270.21
728;491;27.13;0.41;0;491
729;688.48;28.23;0.36;0;688.48
730;839.99;28.87;0.43;0;839.99
731;867.59;29.58;0.59;0;867.59
732;822.16;29.99;0.72;0;822.16
733;754.08;29.91;0.8;0;754.08
734;645.98;29.63;0.76;0;645.98
735;490.6;29.11;0.57;0;490.6
736;264.89;28.54;0.43;0;264.89
737;55.14;27.94;0.64;0;55.14
738;0;27.64;0.97;0;0
739;0;27.32;1.15;0;0
740;0;26.94;1.31;0;0
741;0;26.48;1.49;0;0
742;0;25.87;1.52;0;0
743;0;25.65;1.01;0;0
744;0;25.55;0.95;0;0
745;0;25.43;0.9;0;0
746;0;25.34;0.88;0;0
747;0;25.26;0.86;0;0
748;0;25.19;0.76;0;0
749;0;25.12;0.67;0;0
750;16.87;25.4;0.66;0;16.87
751;37.72;25.93;0.63;0;37.72
752;93.88;26.57;0.47;0;93.88
753;154.86;27.2;0.78;0;154.86
754;203.29;27.65;0.96;0;203.29
755;236.07;28.48;0.6;0;236.07
756;304.41;28.95;0.15;0;304.41
757;373.16;29.06;0.06;0;373.16
758;270.84;28.97;0.07;0;270.84
759;254.34;28.66;0.05;0;254.34
760;145;28.26;0.16;0;145
761;31.73;27.37;0.27;0;31.73
762;0;27.43;0.45;0;0
763;0;27.19;0.69;0;0
764;0;26.83;0.87;0;0
765;0;26.51;0.95;0;0
766;0;26.19;1.01;0;0
767;0;25.67;1.12;0;0
768;0;25.28;1.22;0;0
769;0;24.98;1.26;0;0
770;0;24.73;1.27;0;0
771;0;24.59;1.23;0;0
772;0;24.7;1.05;0;0
773;0;25.17;0.47;0;0
